1460539960830 Device(s) COM5  
1460539960852 Connected COM5  
1460539964070 Repl Initialized  
>> Robot Ready
output: 255 ,setpoint: 0 ,input: 164 ,heading: 22 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 164 ,heading: 22 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 164 ,heading: 22 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 164 ,heading: 22 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 164 ,heading: 22 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 164 ,heading: 22 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 163 ,heading: 23 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 163 ,heading: 23 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 163 ,heading: 23 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 163 ,heading: 23 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 163 ,heading: 23 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 163 ,heading: 23 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 163 ,heading: 23 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 163 ,heading: 23 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 163 ,heading: 23 ,rotateDirection: left ,quarter: Q3
output: 15 ,setpoint: 0 ,input: 160 ,heading: 26 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 160 ,heading: 26 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 160 ,heading: 26 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 160 ,heading: 26 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 160 ,heading: 26 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 160 ,heading: 26 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 160 ,heading: 26 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 160 ,heading: 26 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 160 ,heading: 26 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 160 ,heading: 26 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 160 ,heading: 26 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 160 ,heading: 26 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 160 ,heading: 26 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 160 ,heading: 26 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 160 ,heading: 26 ,rotateDirection: left ,quarter: Q3
output: 15 ,setpoint: 0 ,input: 158 ,heading: 28 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 158 ,heading: 28 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 158 ,heading: 28 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 158 ,heading: 28 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 158 ,heading: 28 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 158 ,heading: 28 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 158 ,heading: 28 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 158 ,heading: 28 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 158 ,heading: 28 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 158 ,heading: 28 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 158 ,heading: 28 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 158 ,heading: 28 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 158 ,heading: 28 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
